reviewer;paper
Michal Munk;OPTIMED : optimisation itérative pour la résolution de problèmes inverses de grande taille.
Eldert J. van Henten;Frequency Domain Steganography with Reversible Texture Combination.
Holger Arthaber;Frequency Domain Steganography with Reversible Texture Combination.
Tamaki Ura;Frequency Domain Steganography with Reversible Texture Combination.
Mehdi Jafari;Détection de changements structurels sur des images satellite haute r ésolution. Application en milieu forestier.
Ehrentraud Hager;Détection de changements structurels sur des images satellite haute r ésolution. Application en milieu forestier.
Raphaël Rouveure;Détection de changements structurels sur des images satellite haute r ésolution. Application en milieu forestier.
Xianwen Kong;Détection radiale de visages sur images omnidirectionnelles.
Christian Seitl;Détection radiale de visages sur images omnidirectionnelles.
Wolfgang Kreuzer;Détection radiale de visages sur images omnidirectionnelles.
R. A. John Challiss;A DWT Based Novel Multimodal Image Fusion Method.
Carlos Jesús Pérez-del-Pulgar;A DWT Based Novel Multimodal Image Fusion Method.
Christian Lenz;A DWT Based Novel Multimodal Image Fusion Method.
Stefan Leutenegger;Comparison of Classification Models Using Entropy Based Features from Sub-bands of EEG.
Ali-akbar Agha-mohammadi;Comparison of Classification Models Using Entropy Based Features from Sub-bands of EEG.
Shehryar Khattak;Comparison of Classification Models Using Entropy Based Features from Sub-bands of EEG.
Sugondo Hadiyoso;Early Detection of Hemorrhagic Stroke Using a Lightweight Deep Learning Neural Network Model.
Tim Schumacher;Early Detection of Hemorrhagic Stroke Using a Lightweight Deep Learning Neural Network Model.
Maria L. Gini;Early Detection of Hemorrhagic Stroke Using a Lightweight Deep Learning Neural Network Model.
Piotr Gurgul;Low-Cost Brain-Computer Interface Using the Emotiv Epoc Headset Based on Rotating Vanes.
Martin Wiessflecker;Low-Cost Brain-Computer Interface Using the Emotiv Epoc Headset Based on Rotating Vanes.
Stefan Böcker;Low-Cost Brain-Computer Interface Using the Emotiv Epoc Headset Based on Rotating Vanes.
Stephen Gilmore;Cartographie de la biophonie des écosystèmes côtiers.
Kenji Tahara;Cartographie de la biophonie des écosystèmes côtiers.
Stefano Mauro;Cartographie de la biophonie des écosystèmes côtiers.
Christoph Mayr-Dorn;Secure Transfer of Color Images Using Horizontal and Vertical Scan.
Mathias Uslar;Secure Transfer of Color Images Using Horizontal and Vertical Scan.
David Johnson;Secure Transfer of Color Images Using Horizontal and Vertical Scan.
Paul E. Rybski;Blind Digital Watermarking Framework Based on DTCWT and NSCT for Telemedicine Application.
Pedro F. Santana;Blind Digital Watermarking Framework Based on DTCWT and NSCT for Telemedicine Application.
Victor Erokhin;Blind Digital Watermarking Framework Based on DTCWT and NSCT for Telemedicine Application.
Michael V. Jakuba;An improved mixed gaussian-based background modelling method for fast gesture segmentation of mobile terminals.
Stefan B. Williams;An improved mixed gaussian-based background modelling method for fast gesture segmentation of mobile terminals.
Raphaël Rouveure;An improved mixed gaussian-based background modelling method for fast gesture segmentation of mobile terminals.
Nicky Penhall;Brain Tumor Diagnosis in MRI Images Using Image Processing Techniques and Pixel-Based Clustering.
Hissam Tawfik;Brain Tumor Diagnosis in MRI Images Using Image Processing Techniques and Pixel-Based Clustering.
Hana Mohelska;Brain Tumor Diagnosis in MRI Images Using Image Processing Techniques and Pixel-Based Clustering.
Gale Paulsen;EFIDIR : extraction et fusion d'informations pour la mesure de déplacements par imagerie radar.
Jaime del Cerro;EFIDIR : extraction et fusion d'informations pour la mesure de déplacements par imagerie radar.
Philippe Gorce;EFIDIR : extraction et fusion d'informations pour la mesure de déplacements par imagerie radar.
Bernhard Auinger;Détection des panneaux de signalisation routière par accumulation bivariée.
Qiang Zhang;Détection des panneaux de signalisation routière par accumulation bivariée.
Piotr Gurgul;Détection des panneaux de signalisation routière par accumulation bivariée.
Philippe Xu;An Illumination Insensitive Normalization Approach to Face Recognition Using Locality Sensitive Discriminant Analysis.
Mariangiola Dezani-Ciancaglini;An Illumination Insensitive Normalization Approach to Face Recognition Using Locality Sensitive Discriminant Analysis.
Pedro U. Lima;An Illumination Insensitive Normalization Approach to Face Recognition Using Locality Sensitive Discriminant Analysis.
Philipp Lottes;Automatic Detection of Schizophrenia by Applying Deep Learning over Spectrogram Images of EEG Signals.
Hanumant Singh;Automatic Detection of Schizophrenia by Applying Deep Learning over Spectrogram Images of EEG Signals.
Kay Hameyer;Automatic Detection of Schizophrenia by Applying Deep Learning over Spectrogram Images of EEG Signals.
Junichiro Makino;MRI Image Based Classification Model for Lung Tumor Detection Using Convolutional Neural Networks.
Nicole Radde;MRI Image Based Classification Model for Lung Tumor Detection Using Convolutional Neural Networks.
Yufei Jin;MRI Image Based Classification Model for Lung Tumor Detection Using Convolutional Neural Networks.
Debnath Bhattacharyya;Diagnosis of Pulpitis from Dental Panoramic Radiograph Using Histogram of Gradients with Discrete Wavelet Transform and Multilevel Neural Network Techniques.
Luke Fletcher;Diagnosis of Pulpitis from Dental Panoramic Radiograph Using Histogram of Gradients with Discrete Wavelet Transform and Multilevel Neural Network Techniques.
Klaus Roppert;Diagnosis of Pulpitis from Dental Panoramic Radiograph Using Histogram of Gradients with Discrete Wavelet Transform and Multilevel Neural Network Techniques.
Maria Schrammel;Mesure de similarité entre sous-parties de nuages de points 2D.
Nathan Cassee;Mesure de similarité entre sous-parties de nuages de points 2D.
Kyohei Otsu;Mesure de similarité entre sous-parties de nuages de points 2D.
Ilker Yengin;Indexation multimédia par dictionnaires visuels en environnement décentralisé. Une approche par protocoles Gossip.
Xiaorui Zhu;Indexation multimédia par dictionnaires visuels en environnement décentralisé. Une approche par protocoles Gossip.
Christian Alács;Indexation multimédia par dictionnaires visuels en environnement décentralisé. Une approche par protocoles Gossip.
Tao Song 0004;Design of Automated Visual Inspection System for Beverage Industry Production Line.
Luís Magalhães;Design of Automated Visual Inspection System for Beverage Industry Production Line.
José E. Guivant;Design of Automated Visual Inspection System for Beverage Industry Production Line.
Ayoung Kim;Sélection adaptative de caractéristiques pertinentes et classification hiérarchique des images dans les bases hétérogènes.
Tomas Sochor;Sélection adaptative de caractéristiques pertinentes et classification hiérarchique des images dans les bases hétérogènes.
Jyh-Jone Lee;Sélection adaptative de caractéristiques pertinentes et classification hiérarchique des images dans les bases hétérogènes.
Angelo Troina;SVM Prediction Model Interface for Plant Contaminates.
Simon Watson 0001;SVM Prediction Model Interface for Plant Contaminates.
Niklas Driendl;SVM Prediction Model Interface for Plant Contaminates.
Daniel Herbst;An Efficient Multi-stage Object-Based Classification to Extract Urban Building Footprints from HR Satellite Images.
Peter Corke;An Efficient Multi-stage Object-Based Classification to Extract Urban Building Footprints from HR Satellite Images.
Bruce A. MacDonald;An Efficient Multi-stage Object-Based Classification to Extract Urban Building Footprints from HR Satellite Images.
Christian Colombo 0001;Self-Supervised Speech Enhancement for Arabic Speech Recognition in Real-World Environments.
Timothy Yeatman;Self-Supervised Speech Enhancement for Arabic Speech Recognition in Real-World Environments.
Shaohui Foong;Self-Supervised Speech Enhancement for Arabic Speech Recognition in Real-World Environments.
Florian Pauli;Signal Dynamics Analysis for Epileptic Seizure Classification on EEG Signals.
Martin Drlík;Signal Dynamics Analysis for Epileptic Seizure Classification on EEG Signals.
Paul Maurerlehner;Signal Dynamics Analysis for Epileptic Seizure Classification on EEG Signals.
Kevin Knoedler;A New Approach for Eye-Blink to Speech Conversion by Dynamic Time Warping.
Georg Brasseur;A New Approach for Eye-Blink to Speech Conversion by Dynamic Time Warping.
Sarita Thakoor;A New Approach for Eye-Blink to Speech Conversion by Dynamic Time Warping.
C.-H. Luke Ong;Classification of Medical Thermograms Belonging Neonates by Using Segmentation, Feature Engineering and Machine Learning Algorithms.
Gundolf Haase;Classification of Medical Thermograms Belonging Neonates by Using Segmentation, Feature Engineering and Machine Learning Algorithms.
Stefan Tauner;Classification of Medical Thermograms Belonging Neonates by Using Segmentation, Feature Engineering and Machine Learning Algorithms.
Mario Cannataro;Forest Fire Recognition Based on Feature Extraction from Multi-View Images.
Andreas Malcher;Forest Fire Recognition Based on Feature Extraction from Multi-View Images.
John M. Colombi;Forest Fire Recognition Based on Feature Extraction from Multi-View Images.
Tobias Stark;Prediction of Graphic Interaction Time of Virtual Reality System Based on Improved Fitts' Law.
Gabriele Costante;Prediction of Graphic Interaction Time of Virtual Reality System Based on Improved Fitts' Law.
Jacques D. Fleuriot;Prediction of Graphic Interaction Time of Virtual Reality System Based on Improved Fitts' Law.
Dimitri N. Mavris;Multi-Sessions Outcome for EEG Feature Extraction and Classification Methods in a Motor Imagery Task.
Srinivasa G. Narasimhan;Multi-Sessions Outcome for EEG Feature Extraction and Classification Methods in a Motor Imagery Task.
Frits K. van Evert;Multi-Sessions Outcome for EEG Feature Extraction and Classification Methods in a Motor Imagery Task.
Florian Klück;Spectral Graph Wavelet Based Image Steganography Using SVD and Arnold Transform.
Taskin Padir;Spectral Graph Wavelet Based Image Steganography Using SVD and Arnold Transform.
Andrew English;Spectral Graph Wavelet Based Image Steganography Using SVD and Arnold Transform.
Ali Douik;Ensembling: Model of histogram of oriented gradient based handwritten devanagari character recognition system.
Sandra Torchiaro;Ensembling: Model of histogram of oriented gradient based handwritten devanagari character recognition system.
Rafael García;Ensembling: Model of histogram of oriented gradient based handwritten devanagari character recognition system.
Yuanbo Bi;Novel Implementations of Clutter and Target Discrimination Using Threshold Skewness Method.
Qi Shao;Novel Implementations of Clutter and Target Discrimination Using Threshold Skewness Method.
Steven Lake Waslander;Novel Implementations of Clutter and Target Discrimination Using Threshold Skewness Method.
Kevin C. Meier;Un nouvel ensemble de descripteurs de Fourier Clifford pour les images couleur. Les GCFD3.
Jean-Yves Tourneret;Un nouvel ensemble de descripteurs de Fourier Clifford pour les images couleur. Les GCFD3.
Christoph Reichl;Un nouvel ensemble de descripteurs de Fourier Clifford pour les images couleur. Les GCFD3.
Darko Brankovic;An improved fingerprint image matching and multi-view fingerprint recognition algorithm.
Shengjie Zhao;An improved fingerprint image matching and multi-view fingerprint recognition algorithm.
Josef Prainsack;An improved fingerprint image matching and multi-view fingerprint recognition algorithm.
Steen Rasmussen;Monitoring of Epileptical Patients Using Cloud-Enabled Health-IoT System.
Dario Floreano;Monitoring of Epileptical Patients Using Cloud-Enabled Health-IoT System.
Evan Patterson;Monitoring of Epileptical Patients Using Cloud-Enabled Health-IoT System.
Markus Eich;Bouclage de pertinence négatif pour la recherche des images à base de descripteurs de sous-bandes d'ondelettes.
